Date,Min Temperature (C),Max Temperature (C)
04-28-2021,18.9,38.1
04-29-2021,20.9,38.0
04-30-2021,20.2,36.1
05-01-2021,21.6,34.8
05-02-2021,20.7,34.1
05-03-2021,21.3,33.3
05-04-2021,21.0,34.6
05-05-2021,20.9,31.1
05-06-2021,20.4,33.0
05-07-2021,18.6,32.1
05-08-2021,19.4,32.6
05-09-2021,19.4,31.8
05-10-2021,19.3,31.6
05-11-2021,20.3,35.0
05-12-2021,20.5,30.3
05-13-2021,18.4,27.0
05-14-2021,15.7,32.3
05-15-2021,19.0,34.0
05-16-2021,18.6,36.3
05-17-2021,19.9,35.1
05-18-2021,23.4,30.8
05-19-2021,20.2,25.0
05-20-2021,18.1,26.6
05-21-2021,17.8,30.1
05-22-2021,19.0,33.6
05-23-2021,20.0,32.6
05-24-2021,18.9,34.0
05-25-2021,18.7,36.6
05-26-2021,19.3,35.3
05-27-2021,20.6,35.1
05-28-2021,24.7,33.6
05-29-2021,21.1,31.8
05-30-2021,20.1,33.0
05-31-2021,23.3,34.0
06-01-2021,19.8,31.0
06-02-2021,19.1,33.0
06-03-2021,20.1,34.0
06-04-2021,21.8,34.8
06-05-2021,21.8,35.1
06-06-2021,22.7,35.3
06-07-2021,23.0,36.0
06-08-2021,25.0,36.0
06-09-2021,25.4,36.3
06-10-2021,23.1,30.6
06-11-2021,23.2,32.0
06-12-2021,20.1,31.0
06-13-2021,22.9,32.0
06-14-2021,22.7,32.6
06-15-2021,23.6,33.1
06-16-2021,22.7,29.8
06-17-2021,23.1,33.3
06-18-2021,22.6,28.8
06-19-2021,22.6,27.9
06-20-2021,21.9,29.4
06-21-2021,23.4,32.0
06-22-2021,24.4,34.0
06-23-2021,24.9,34.1
06-24-2021,23.4,33.3
06-25-2021,22.7,34.0
06-26-2021,20.6,33.0
06-27-2021,24.7,34.0
06-28-2021,24.7,33.1
06-29-2021,25.1,35.2
06-30-2021,25.4,37.0
07-01-2021,25.4,35.9
07-02-2021,24.1,35.7
07-03-2021,22.0,33.3
07-04-2021,24.4,32.8
07-05-2021,21.7,34.0
07-06-2021,25.1,34.8
07-07-2021,25.1,36.1
07-08-2021,23.8,35.2
07-09-2021,23.2,34.0
07-10-2021,25.8,33.5
07-11-2021,26.1,31.9
07-12-2021,24.8,31.8
07-13-2021,23.7,29.2
07-14-2021,23.4,30.3
07-15-2021,23.2,30.0
07-16-2021,24.1,33.0
07-17-2021,25.1,31.4
07-18-2021,22.1,26.9
07-19-2021,24.0,25.4
07-20-2021,23.6,28.8
07-21-2021,23.3,32.6
07-22-2021,23.4,29.0
07-23-2021,25.1,35.3
07-24-2021,25.5,33.8
07-25-2021,25.6,31.5
07-26-2021,24.4,28.1
07-27-2021,24.8,30.0
07-28-2021,23.0,26.6
07-29-2021,23.7,30.1
07-30-2021,24.1,31.8
07-31-2021,24.1,32.6
08-01-2021,25.2,28.9
08-02-2021,24.4,31.1
08-03-2021,24.3,30.8
08-04-2021,24.9,31.6
08-05-2021,23.1,29.1
08-06-2021,24.4,33.6
08-07-2021,24.7,32.1
08-08-2021,24.2,31.0
08-09-2021,22.3,30.1
08-10-2021,24.0,31.2
08-11-2021,23.9,32.6
08-12-2021,24.9,30.8
08-13-2021,24.1,30.2
08-14-2021,23.8,31.8
08-15-2021,24.1,33.3
08-16-2021,22.9,32.8
08-17-2021,24.1,33.0
08-18-2021,24.3,33.8
08-19-2021,23.7,30.3
08-20-2021,23.6,26.4
08-21-2021,23.7,29.3
08-22-2021,24.1,30.3
08-23-2021,24.0,33.6
08-24-2021,24.9,29.6
08-25-2021,24.6,28.8
08-26-2021,24.3,30.0
08-27-2021,24.6,29.3
08-28-2021,23.0,28.1
08-29-2021,23.2,29.0
08-30-2021,22.8,30.8
08-31-2021,22.1,30.3
09-01-2021,22.5,27.6
09-02-2021,23.1,31.6
09-03-2021,23.3,30.0
09-04-2021,23.2,28.8
09-05-2021,22.7,31.6
09-06-2021,24.6,32.3
09-07-2021,24.7,30.6
09-08-2021,23.3,31.6
09-09-2021,22.7,31.6
09-10-2021,22.9,31.3
09-11-2021,23.3,28.1
09-12-2021,22.7,30.0
09-13-2021,23.1,32.8
09-14-2021,23.0,30.6
09-15-2021,22.6,31.8
09-16-2021,22.5,31.0
09-17-2021,22.1,29.5
09-18-2021,23.8,30.3
09-19-2021,24.1,31.3
09-20-2021,23.4,32.0
09-21-2021,23.9,29.1
09-22-2021,21.9,28.6
09-23-2021,22.1,30.0
09-24-2021,21.6,31.0
09-25-2021,21.6,32.3
09-26-2021,22.3,31.0
09-27-2021,22.4,32.8
09-28-2021,22.5,32.6
09-29-2021,22.2,31.6
09-30-2021,23.4,30.0
10-01-2021,22.6,30.1
10-02-2021,23.0,29.1
10-03-2021,21.9,30.3
10-04-2021,22.9,30.3
10-05-2021,21.7,30.8
10-06-2021,20.7,30.1
10-07-2021,20.0,31.0
10-08-2021,21.3,31.0
10-09-2021,20.9,30.3
